Patron ID,Donation Amount,Donation Date,Payment Method,Campaign,Status
7963,"$3,000.00",2018-01-25,Credit card,Annual Campaign,Paid
5966,$100.00,2023-07-10,Credit card,Gala Campaign,Paid
5034,$250.00,2022-07-25,Check,Capital Campaign,Paid
5287,"$1,000.00",2020-05-19,Credit card,Annual Campaign,Paid
8101,"$1,000.00",2020-05-17,Credit card,Capital Campaign,Paid
8548,"$5,000.00",2019-10-21,Check,Annual Campaign,Paid
9859,$50.00,2019-11-22,Credit card,Annual Campaign,Paid
5301,"$10,000.00",2022-10-03,Check,Gala Campaign,Paid
5767,$250.00,2024-12-20,Check,Annual Campaign,Paid
4926,$500.00,2018-09-28,Credit card,Annual Campaign,Paid
1089,"$1,000.00",2018-07-13,Check,Annual Campaign,Paid
4051,"$3,000.00",2021-05-05,Credit card,Annual Campaign,Paid
3514,$250.00,2020-12-01,Check,Annual Campaign,Paid
3953,$250.00,2024-05-04,Credit card,Capital Campaign,Paid
6366,$500.00,2023-03-27,Credit card,Annual Campaign,Paid
4566,"$10,000.00",2022-10-26,Check,Annual Campaign,Paid
5418,"$10,000.00",2021-03-21,Check,Capital Campaign,Paid
3677,$50.00,2022-02-19,Credit card,Annual Campaign,Paid
6822,$100.00,2023-05-14,Bank transfer,Annual Campaign,Paid
7564,$500.00,2022-06-17,Credit card,Annual Campaign,Paid
4036,"$10,000.00",2020-12-08,Credit card,Capital Campaign,Paid
9655,$100.00,2020-01-21,Check,Annual Campaign,Paid
1459,"$10,000.00",2021-04-28,Credit card,Capital Campaign,Paid
8265,"$5,000.00",2018-09-30,Credit card,Annual Campaign,Paid
2014,$100.00,2020-04-10,Bank transfer,Annual Campaign,Paid
4862,$100.00,2021-07-30,Check,Annual Campaign,Paid
8161,$50.00,2020-06-01,Credit card,Annual Campaign,Paid
4107,"$5,000.00",2020-12-27,Credit card,Annual Campaign,Paid
1102,$100.00,2023-11-30,Bank transfer,Gala Campaign,Paid
3203,"$5,000.00",2020-09-25,Credit card,Gala Campaign,Paid
6522,$500.00,2018-03-20,Credit card,Annual Campaign,Paid
4526,$50.00,2019-03-21,Credit card,Annual Campaign,Paid
3973,$50.00,2024-01-28,Credit card,Annual Campaign,Paid
9734,$500.00,2022-10-29,Bank transfer,Gala Campaign,Paid
9153,$100.00,2019-12-28,Credit card,Annual Campaign,Paid
7103,"$1,000.00",2024-08-15,Credit card,Annual Campaign,Paid
3561,"$10,000.00",2021-08-07,Bank transfer,Annual Campaign,Paid
7963,"$1,000.00",2019-10-20,Credit card,Annual Campaign,Paid
6801,$100.00,2018-02-15,Credit card,Annual Campaign,Paid
2085,$250.00,2019-03-22,Check,Annual Campaign,Paid
3927,$500.00,2024-05-25,Check,Annual Campaign,Paid
4651,$100.00,2022-01-07,Check,Gala Campaign,Paid
4039,"$1,000.00",2020-06-19,Credit card,Annual Campaign,Paid
2481,$500.00,2018-06-19,Credit card,Annual Campaign,Paid
5321,$100.00,2020-06-12,Credit card,Capital Campaign,Paid
4615,"$5,000.00",2023-05-12,Credit card,Annual Campaign,Paid
